Image_Links, Names, Short_Description, For_More_Info
https://m.media-amazon.com/images/M/MV5BNmIwYzhiNjUtYmY3NS00YjdhLTlkM2UtZDJhZDJiNDkzNDI5XkEyXkFqcGdeQXVyNDY2Nzg2NQ@@._V1_UY209_CR340140209_AL_.jpg ,  Deepak Tijori , Deepak Tijori was born on August 28 1961 in Bombay Maharashtra Indi , https://en.wikipedia.org/wiki/ Deepak Tijori
https://m.media-amazon.com/images/M/MV5BMTk0ODU5NjAzMl5BMl5BanBnXkFtZTcwNDYyOTM5NA@@._V1_UY209_CR870140209_AL_.jpg ,  Dharmendra , Dharmendra is one of the biggest stars of Indian cinema. Dharmendra De , https://en.wikipedia.org/wiki/ Dharmendra
https://m.media-amazon.com/images/M/MV5BNGFlYzAyYjgtNzRjNS00NmE4LTliOGYtYzBkYzU5MzRhMDM0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX140_CR00140209_AL_.jpg ,  Deepika Padukone , Deepika Padukone born 5 January 1986 in Copenhagen Denmark is an In , https://en.wikipedia.org/wiki/ Deepika Padukone
https://m.media-amazon.com/images/M/MV5BNTc4MTE1NDU5MF5BMl5BanBnXkFtZTcwNDI2MTcxOA@@._V1_UY209_CR810140209_AL_.jpg ,  Dimple Kapadia , Born in a Gujerati-speaking family on June 8 1957 daughter to busine , https://en.wikipedia.org/wiki/ Dimple Kapadia
https://m.media-amazon.com/images/M/MV5BMTk5MDI0OTQzOF5BMl5BanBnXkFtZTcwMTgwMzEzMQ@@._V1_UY209_CR690140209_AL_.jpg ,  Dev Anand , After having played the Lead Actor for more than five decades in over  , https://en.wikipedia.org/wiki/ Dev Anand
https://m.media-amazon.com/images/M/MV5BYjhjNWM1MmUtM2M3My00MWZmLWE5NDYtNTI5YTM3MWQwNGVhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR00140209_AL_.jpg ,  Deepti Naval , Deepti Naval is an Indian film actor director writer painter and ph , https://en.wikipedia.org/wiki/ Deepti Naval
https://m.media-amazon.com/images/M/MV5BMzg0NTM0MjYxN15BMl5BanBnXkFtZTcwMzY1NTAzMQ@@._V1_UY209_CR680140209_AL_.jpg ,  Dilip Kumar , Dilip Kumar is considered to be one of the greatest actors of Indian c , https://en.wikipedia.org/wiki/ Dilip Kumar
https://m.media-amazon.com/images/M/MV5BNzY3ODZmNDctZDA0ZC00NGNmLTgzZmItM2JhMTI4MzM3NTU2XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR00140209_AL_.jpg ,  Farooq Shaikh , Farooq Sheikh was an Indian actor philanthropist and a television pre , https://en.wikipedia.org/wiki/ Farooq Shaikh
https://m.media-amazon.com/images/M/MV5BMjA4MjYwNzAzM15BMl5BanBnXkFtZTcwMzUyMTUxNw@@._V1_UX140_CR00140209_AL_.jpg ,  Farhan Akhtar , An accomplished and award-winning producer-director-writer-actor-singe , https://en.wikipedia.org/wiki/ Farhan Akhtar
https://m.media-amazon.com/images/M/MV5BN2NjODM2NDItYTU0Ni00MzJmLWJkZTYtMjQ3ZDZjZmNjY2NhXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Feroz Khan , Firoz was born in Bangalore on September 25 1939 to a Pathan father  , https://en.wikipedia.org/wiki/ Feroz Khan
https://m.media-amazon.com/images/M/MV5BZGE2OTUzZDEtZWQ2Ny00YTQ0LWEyYmItYmRiYjMxNTFiYzYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX140_CR00140209_AL_.jpg ,  Farida Jalal , Farida Jalal was discovered by Filmfare's United Producers' Talent Hun , https://en.wikipedia.org/wiki/ Farida Jalal
https://m.media-amazon.com/images/M/MV5BMjA0Mzg2NjEwN15BMl5BanBnXkFtZTgwODQ1NDQzNzE@._V1_UY209_CR690140209_AL_.jpg ,  Guru Dutt , Considered to be a man ahead of his time Guru Dutt was one of the gre , https://en.wikipedia.org/wiki/ Guru Dutt
https://m.media-amazon.com/images/M/MV5BNzEwNDgwMTk3Nl5BMl5BanBnXkFtZTgwNjMwOTU4MDI@._V1_UY209_CR140140209_AL_.jpg ,  Govinda , Govinda was born on December 21 1963. Govinda has acted in over 120 f , https://en.wikipedia.org/wiki/ Govinda
https://m.media-amazon.com/images/M/MV5BM2FmZGY4NDctMzczOC00MTg3LWExZDUtYWU5NTNkMTA4YzZhXkEyXkFqcGdeQXVyODI0MDE3OQ@@._V1_UX140_CR00140209_AL_.jpg ,  Gulshan Grover , Gulshan Grover was born raised and educated in Delhi India. After re , https://en.wikipedia.org/wiki/ Gulshan Grover
https://m.media-amazon.com/images/M/MV5BODJhZWQ3NGEtZDFmYS00YTc3LTllMzctZGFlM2U0NjliYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR60140209_AL_.jpg ,  Gurpreet Ghuggi , Gurpreet Ghuggi was born as Gurpreet Singh. He is known for his work o , https://en.wikipedia.org/wiki/ Gurpreet Ghuggi
https://m.media-amazon.com/images/M/MV5BMTkyNDk3MjEzN15BMl5BanBnXkFtZTYwOTQyODEz._V1_UY209_CR160140209_AL_.jpg ,  Girish Karnad , Girish Karnad was born on 19th May 1938 in Matheran Maharashtra. He i , https://en.wikipedia.org/wiki/ Girish Karnad
https://m.media-amazon.com/images/M/MV5BZjYwYjE4YjQtMTFmMi00NTlhLThjZjUtZTIyMTczMGU2ZDE5XkEyXkFqcGdeQXVyNzM2NzM0NDU@._V1_UX140_CR00140209_AL_.jpg ,  Hrithik Roshan , Hrithik Roshan is an Indian actor born on 10th January 1974 well kno , https://en.wikipedia.org/wiki/ Hrithik Roshan
https://m.media-amazon.com/images/M/MV5BMTEwMTkyMDY3OTheQTJeQWpwZ15BbWU4MDE1MjEyMzkx._V1_UX140_CR00140209_AL_.jpg ,  Huma Qureshi , Huma Qureshi born and raised in Delhi. Her father is a famous restaura , https://en.wikipedia.org/wiki/ Huma Qureshi
https://m.media-amazon.com/images/M/MV5BNTlkNmU1N2YtZGI2OC00YjkwLWIxM2MtNTZkMmJkYTQ4YWE1XkEyXkFqcGdeQXVyMjQwMDg0Ng@@._V1_UY209_CR100140209_AL_.jpg ,  Inaamulhaq , An alumnus of National School of Drama Inaamulhaq was born on Nov 14 , https://en.wikipedia.org/wiki/ Inaamulhaq
https://m.media-amazon.com/images/M/MV5BNDg3NDgxNzY4NF5BMl5BanBnXkFtZTcwODMxODQzMg@@._V1_UY209_CR80140209_AL_.jpg ,  Irrfan Khan , Born Sahabzade Irfan Ali Khan in Jaipur Rajasthan (NW India) January , https://en.wikipedia.org/wiki/ Irrfan Khan
https://m.media-amazon.com/images/M/MV5BYzczOGViODMtMWY1Yi00ZTAwLTkzZjItYzlmMzU0NmM5YjBmXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR160140209_AL_.jpg ,  Jackie Shroff , Jaikishen was born in the Gujarati-speaking Shroff family on February  , https://en.wikipedia.org/wiki/ Jackie Shroff
https://m.media-amazon.com/images/M/MV5BMjM2MTc1NTk5OF5BMl5BanBnXkFtZTgwOTI4NDczMDE@._V1_UY209_CR860140209_AL_.jpg ,  Jimmy Sheirgill , Shergill was born in a Sikh family in Gorakhpur Uttar Pradesh. He mov , https://en.wikipedia.org/wiki/ Jimmy Sheirgill
https://m.media-amazon.com/images/M/MV5BYThkMTY3NDktMDBiNy00NWFhLWIyOWEtNGRkNDRiMGJjMjZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR50140209_AL_.jpg ,  Jeetendra , Ravi Kapoor was born in a business family that dealt with imitation Je , https://en.wikipedia.org/wiki/ Jeetendra
https://m.media-amazon.com/images/M/MV5BZGQzZDgxNGMtZTdjYy00NzI3LThlOGItNjdmOTc5ZjQwYjcwXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY209_CR120140209_AL_.jpg ,  Jaspal Bhatti , al Bhatti the most popular social satirist in India graduated from P , https://en.wikipedia.org/wiki/ Jaspal Bhatti
https://m.media-amazon.com/images/M/MV5BMjMyMTQzMjk1MV5BMl5BanBnXkFtZTgwMDg5MTMzOTE@._V1_UX140_CR00140209_AL_.jpg ,  Johnny Lever , Johnny Lever born in Andhra Pradesh and was brought up in Mumbai's Ki , https://en.wikipedia.org/wiki/ Johnny Lever
https://m.media-amazon.com/images/G/01/imdb/images/nopicture/medium/name-2135195744._CB466677935_.png ,  Jaswinder Bhalla , Jaswinder Bhalla is an actor and writer known for Carry on Jatta (201 , https://en.wikipedia.org/wiki/ Jaswinder Bhalla
https://m.media-amazon.com/images/M/MV5BYmUxNTY0MWItODQ2My00YWMyLWFmODgtNTY1MTQ2ZjEwYzdlXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY209_CR130140209_AL_.jpg ,  Kamal Haasan , Kamal Haasan was born November 7 1954 in Paramakudi Tamil Nadu. He d , https://en.wikipedia.org/wiki/ Kamal Haasan
https://m.media-amazon.com/images/M/MV5BMTA2NTg0ODA1ODJeQTJeQWpwZ15BbWU4MDM0NDkxNTMy._V1_UY209_CR40140209_AL_.jpg ,  Kangana Ranaut , Kangana was born on 20 March 1987 in Bhambla near Manali which is in , https://en.wikipedia.org/wiki/ Kangana Ranaut
https://m.media-amazon.com/images/M/MV5BMTU1NjUxNDYwNV5BMl5BanBnXkFtZTgwOTU3MDM0OTE@._V1_UY209_CR30140209_AL_.jpg ,  Konkona Sen Sharma , Konkona Sen Sharma is an awarding winning actress and the daughter of  , https://en.wikipedia.org/wiki/ Konkona Sen Sharma
https://m.media-amazon.com/images/M/MV5BNWYzY2QzNzUtYmVlYy00MmZjLTgxYjEtNjQyOWI5MzZkMDk4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Kader Khan , Kader Khan was born on December 11 1937 in Pishin Balochistan Briti , https://en.wikipedia.org/wiki/ Kader Khan
https://m.media-amazon.com/images/M/MV5BMTY4MjgwODk4MF5BMl5BanBnXkFtZTgwNzAxNzE0MjE@._V1_UY209_CR870140209_AL_.jpg ,  Kay Kay Menon , Kay Kay Menon was born on October 2 1966 in Kerala India as Krishna  , https://en.wikipedia.org/wiki/ Kay Kay Menon
https://m.media-amazon.com/images/M/MV5BMjIwMjQ5MTQ4N15BMl5BanBnXkFtZTgwOTIyMDU0OTE@._V1_UY209_CR40140209_AL_.jpg ,  Kajol , Kajol was born on August 5 1974 in Bombay Maharashtra India as Kajo , https://en.wikipedia.org/wiki/ Kajol
https://m.media-amazon.com/images/M/MV5BMTQ2ODU1NDM0MF5BMl5BanBnXkFtZTcwNjIzNTE3Mw@@._V1_UY209_CR720140209_AL_.jpg ,  Kulbhushan Kharbanda , Kulbhushan Kharbanda was born on October 21 1944 in Hasan Abdal Punj , https://en.wikipedia.org/wiki/ Kulbhushan Kharbanda
https://m.media-amazon.com/images/M/MV5BNzI4NDQyMjU2MF5BMl5BanBnXkFtZTgwMzc4ODEzOTE@._V1_UX140_CR00140209_AL_.jpg ,  Kalki Koechlin , Kalki Koechlin was born to French parents in a small village in Pondic , https://en.wikipedia.org/wiki/ Kalki Koechlin
https://m.media-amazon.com/images/M/MV5BMjE5NzI3NjE1Ml5BMl5BanBnXkFtZTgwNTMxMjMzOTE@._V1_UY209_CR870140209_AL_.jpg ,  Kapil Sharma , Kapil Sharma is an Indian stand-up comedian TV anchor and singer.He w , https://en.wikipedia.org/wiki/ Kapil Sharma
https://m.media-amazon.com/images/M/MV5BOWJmNDJkYjEtYmY5ZC00NmY5LTgyNTUtN2FjODQyZGZhNmIzL2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR100140209_AL_.jpg ,  Krishna Abhishek , Krishna Abhishek is an actor and producer known for Bol Bachchan (201 , https://en.wikipedia.org/wiki/ Krishna Abhishek
https://m.media-amazon.com/images/M/MV5BMTg1MzAzMDg0OV5BMl5BanBnXkFtZTgwMjYzMTI1NTE@._V1_UY209_CR740140209_AL_.jpg ,  Karuna Bannerjee , Karuna Bannerjee was born on December 25 1919 in Calcutta Bengal Pre , https://en.wikipedia.org/wiki/ Karuna Bannerjee
https://m.media-amazon.com/images/M/MV5BZGRkNmZiYjItYTk5Yy00ODU1LThkNjAtYWQ4OGZjYTMxMDcwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR40140209_AL_.jpg ,  Kanwaljit Singh , Kanwaljit Singh is an actor known for 15 Park Avenue (2005) Bang Ban , https://en.wikipedia.org/wiki/ Kanwaljit Singh
https://m.media-amazon.com/images/M/MV5BNDk2OTk5NjYwNl5BMl5BanBnXkFtZTcwMzMyMDQ4Mg@@._V1_UY209_CR880140209_AL_.jpg ,  Lara Dutta , It is not a secret that Lara Dutta is a beauty with brains. This was d , https://en.wikipedia.org/wiki/ Lara Dutta
https://m.media-amazon.com/images/M/MV5BNWY2N2E4Y2EtOGI2NS00YjkxLTgwMDAtNGU4MTZjN2RiZjAwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR10140209_AL_.jpg ,  Manjot Singh , Manjot Singh is an Indian born actor whose portrayal of young Lucky in , https://en.wikipedia.org/wiki/ Manjot Singh
https://m.media-amazon.com/images/M/MV5BMmY4YzA5Y2UtYmI2Yi00MzNmLWJmZjQtYTY3YWYyYzBjYWQ3XkEyXkFqcGdeQXVyOTAyMDgxODQ@._V1_UY209_CR1150140209_AL_.jpg ,  Manu Rishi Chadha , Manu Rishi Chadha one of the finest artists in our industry was born  , https://en.wikipedia.org/wiki/ Manu Rishi Chadha
https://m.media-amazon.com/images/M/MV5BMzI0OWZlOTQtNGJiNS00YzVhLWE1MGQtZGY3ZWUwYWJiOTZiXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR140140209_AL_.jpg ,  Mehmood , Mehmood was born on September 29 1932 in Bombay Bombay Presidency B , https://en.wikipedia.org/wiki/ Mehmood
https://m.media-amazon.com/images/M/MV5BMjAxNzA0MzkzNl5BMl5BanBnXkFtZTcwNjMyOTM0MQ@@._V1_UY209_CR890140209_AL_.jpg ,  Mukesh Tiwari , Mukesh Tiwari was born on August 24 1969 in Sagar Madhya Pradesh In , https://en.wikipedia.org/wiki/ Mukesh Tiwari
https://m.media-amazon.com/images/M/MV5BOTFjOGIwMmUtY2FlMS00ZWJlLThhOWItY2RmY2JmYTc0YTk5XkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UX140_CR00140209_AL_.jpg ,  Mammootty , Malayalam film actor Mammootty was born to Ismail (an agriculturist) a , https://en.wikipedia.org/wiki/ Mammootty
https://m.media-amazon.com/images/M/MV5BNDcyOGU3ODctZjZiZi00OWY1LWEzYjktOTIxNTUwMTAyODMzXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR00140209_AL_.jpg ,  Makrand Deshpande , Makrand Deshpande was born on July 3 1958 in India. He is an actor an , https://en.wikipedia.org/wiki/ Makrand Deshpande
https://m.media-amazon.com/images/M/MV5BZjQ4NWIwYzYtOTYwZC00ZDI4LWFmYWEtZjhmNTE3ODVhYzJkXkEyXkFqcGdeQXVyOTc1MzM5MA@@._V1_UY209_CR80140209_AL_.jpg ,  Madhavan , Madhavan was born on June 1 1970 in a Tamil-speaking family.At the a , https://en.wikipedia.org/wiki/ Madhavan
https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY209_CR00140209_AL_.jpg ,  Mohanlal , Mohanlal was born to Viswanathan Nair (father) and Santhakumari (mothe , https://en.wikipedia.org/wiki/ Mohanlal
https://m.media-amazon.com/images/M/MV5BNGQ4YjkyMzMtM2E4OS00YmMzLWEyY2YtYjY0ZmUzYmEzNzFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY209_CR130140209_AL_.jpg ,  Mita Vasisht , Mita Vashisht is an Indian television film and theater actress who g , https://en.wikipedia.org/wiki/ Mita Vasisht
https://m.media-amazon.com/images/M/MV5BMzUxODk5MmEtZGQxOC00NzUxLWI5YTEtYWFjMjZmZTIwNTA5XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR80140209_AL_.jpg ,  Manoj Bajpayee , Manoj Bajpayee was born on April 23 1969 in Belwa Bihar India. He i , https://en.wikipedia.org/wiki/ Manoj Bajpayee
https://m.media-amazon.com/images/M/MV5BMDdmMDUzMGUtNjBiYy00ZDdiLTlhZWItYmE3MjNjNGViM2U0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR20140209_AL_.jpg ,  Manoj Joshi , Manoj Joshi is an India film and television actor. Joshi began his car , https://en.wikipedia.org/wiki/ Manoj Joshi
https://m.media-amazon.com/images/M/MV5BNTk0OTFkZGItYTQxMi00YTUwLTlkMGEtMTIyZDNlNDc0MzRlXkEyXkFqcGdeQXVyMTgzNTY5OTc@._V1_UY209_CR340140209_AL_.jpg ,  Madhuri Dixit , Madhuri Dixit is one of the most acclaimed actors and Kathak dancers B , https://en.wikipedia.org/wiki/ Madhuri Dixit
https://m.media-amazon.com/images/M/MV5BZWRlMmFiZWUtYWY3Ni00NDkwLWFlZmQtOWE2NjI2MDUzYTczXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY209_CR40140209_AL_.jpg ,  Mohnish Bahl , Mohnish Bahl was born on February 14 1963 in Bombay Maharashtra Ind , https://en.wikipedia.org/wiki/ Mohnish Bahl
https://m.media-amazon.com/images/M/MV5BMjQwNDUxMzY4Ml5BMl5BanBnXkFtZTgwMTgxMTIzOTE@._V1_UY209_CR60140209_AL_.jpg ,  Mithun Chakraborty , Mithun Chakraborty was born on June 16 1947 in Barisal Bengal Presid , https://en.wikipedia.org/wiki/ Mithun Chakraborty
